Winner,Loser,Round
Yamaro,mtgtaka,Quarterfinals
Scabs,willpulliam,Quarterfinals
dull04,alli,Quarterfinals
flowerdayonyon,ecobaronen,Quarterfinals
Yamaro,Scabs,Semifinals
dull04,flowerdayonyon,Semifinals
Yamaro,dull04,Finals
