Winner,Loser,Round
Call1Me1Dragon,Clashed,Quarterfinals
cons0ul,shadow_PT,Quarterfinals
HJ_Kaiser,kogamo,Quarterfinals
yamakiller,Patxi,Quarterfinals
Call1Me1Dragon,cons0ul,Semifinals
HJ_Kaiser,yamakiller,Semifinals
Call1Me1Dragon,HJ_Kaiser,Finals
