Winner,Loser,Round
Sammy13,Butakov,Quarterfinals
ReneRandrup,jacksad,Quarterfinals
Kikurek,helvetti,Quarterfinals
WinRyder,TJG,Quarterfinals
Sammy13,ReneRandrup,Semifinals
Kikurek,WinRyder,Semifinals
Sammy13,Kikurek,Finals
