Winner,Loser,Round
MouT,ballestin93,Quarterfinals
morticiansunion,Mzfroste,Quarterfinals
JJMorris,Lennny,Quarterfinals
Ark4n,minyafriend,Quarterfinals
MouT,morticiansunion,Semifinals
JJMorris,Ark4n,Semifinals
MouT,JJMorris,Finals
