Winner,Loser,Round
Bamboozled,Mult4ni,Quarterfinals
AnziD,PCK,Quarterfinals
Gul_Dukat,kostompy,Quarterfinals
OlleR,Kuhmero,Quarterfinals
Bamboozled,AnziD,Semifinals
Gul_Dukat,OlleR,Semifinals
Bamboozled,Gul_Dukat,Finals
