Winner,Loser,Round
Justin_Sane,kenshao,Quarterfinals
FGC,mortr3d,Quarterfinals
Ark4n,Maheegan001,Quarterfinals
Carroz,Sperling,Quarterfinals
Justin_Sane,FGC,Semifinals
Ark4n,Carroz,Semifinals
Justin_Sane,Ark4n,Finals
