Winner,Loser,Round
TonyMontana,Ninjaneer83,Quarterfinals
ecobaronen,blastoids,Quarterfinals
Zirina,monkeyscantcry,Quarterfinals
Savok,mortr3d,Quarterfinals
TonyMontana,ecobaronen,Semifinals
Zirina,Savok,Semifinals
TonyMontana,Zirina,Finals
