Winner,Loser,Round
Ecoscuro,egadd2894,Quarterfinals
Mzfroste,Clashed,Quarterfinals
AnziD,MituliakV,Quarterfinals
Koke_MTG,ElfKid,Quarterfinals
Ecoscuro,Mzfroste,Semifinals
AnziD,Koke_MTG,Semifinals
Ecoscuro,AnziD,Finals
