Winner,Loser,Round
Control4Daze,Yudaja,Quarterfinals
DharmaChandra,abombdiggity,Quarterfinals
Wiess,Naisirc,Quarterfinals
Bahra,SB3K,Quarterfinals
Control4Daze,DharmaChandra,Semifinals
Wiess,Bahra,Semifinals
Control4Daze,Wiess,Finals
