Winner,Loser,Round
Decoutan,Cartesian,Quarterfinals
PaleMongoose,Clashed,Quarterfinals
Egget,Andreas_Mueller,Quarterfinals
triosk,Pathy,Quarterfinals
Decoutan,PaleMongoose,Semifinals
Egget,triosk,Semifinals
Decoutan,Egget,Finals
