Winner,Loser,Round
Koleigh1,Kikurek,Quarterfinals
mwbagels,JeffHoogland,Quarterfinals
Gul_Dukat,Andreas_Mueller,Quarterfinals
Pascal3000,ElfKid,Quarterfinals
Koleigh1,mwbagels,Semifinals
Gul_Dukat,Pascal3000,Semifinals
Koleigh1,Gul_Dukat,Finals
