Winner,Loser,Round
Clashed,NastyNick,Quarterfinals
Pathy,Scabs,Quarterfinals
Yamaro,Danker,Quarterfinals
Purplegambit,LUCI4,Quarterfinals
Clashed,Pathy,Semifinals
Yamaro,Purplegambit,Semifinals
Clashed,Yamaro,Finals
