Winner,Loser,Round
JPA93,navi_stabber,Quarterfinals
JakeMondello,PCGeternal,Quarterfinals
StonedforgeMystic,Griselpuff,Quarterfinals
kentaro_hokori,zackwithak,Quarterfinals
JPA93,JakeMondello,Semifinals
StonedforgeMystic,kentaro_hokori,Semifinals
JPA93,StonedforgeMystic,Finals
