Winner,Loser,Round
JPA93,SteFaNoGs,Quarterfinals
Vonducky,Dawnpiper,Quarterfinals
Hoey07,Pascal3000,Quarterfinals
Oliver_Hart,Ark4n,Quarterfinals
JPA93,Vonducky,Semifinals
Hoey07,Oliver_Hart,Semifinals
JPA93,Hoey07,Finals
