Winner,Loser,Round
Butakov,Danker,Quarterfinals
ElfKid,millennium9999,Quarterfinals
Condescend,laywer,Quarterfinals
Pathy,jacetmsst,Quarterfinals
Butakov,ElfKid,Semifinals
Condescend,Pathy,Semifinals
Butakov,Condescend,Finals
