Winner,Loser,Round
MindOfAKid,toondoslav,Quarterfinals
reiderrabbit,JPA93,Quarterfinals
FANAttIC,pAmp0,Quarterfinals
TonyMontana,GetDunked,Quarterfinals
MindOfAKid,reiderrabbit,Semifinals
FANAttIC,TonyMontana,Semifinals
MindOfAKid,FANAttIC,Finals
