Winner,Loser,Round
mahonen,Mou,Quarterfinals
monkeyscantcry,EronRelentless,Quarterfinals
Bryant_Cook,Sibelius1202,Quarterfinals
ballestin93,daft,Quarterfinals
mahonen,monkeyscantcry,Semifinals
Bryant_Cook,ballestin93,Semifinals
mahonen,Bryant_Cook,Finals
