Winner,Loser,Round
m0ller,Orim67,Quarterfinals
GetDunked,cws,Quarterfinals
krom321,Nataniel63,Quarterfinals
Pascal3000,AdventuresWithTarmo,Quarterfinals
m0ller,GetDunked,Semifinals
krom321,Pascal3000,Semifinals
m0ller,krom321,Finals
