Winner,Loser,Round
Prettymoe,Aigis,Quarterfinals
malimujo,Call1Me1Dragon,Quarterfinals
IronsideF,GeneralSmallChild,Quarterfinals
Shorak123,Andreas_Mueller,Quarterfinals
Prettymoe,malimujo,Semifinals
IronsideF,Shorak123,Semifinals
Prettymoe,IronsideF,Finals
