Winner,Loser,Round
Scabs,JeffHoogland,Quarterfinals
Bryanftw,OlleR,Quarterfinals
silviawataru,Mou,Quarterfinals
Darkwonyx,justinlieberman,Quarterfinals
Scabs,Bryanftw,Semifinals
silviawataru,Darkwonyx,Semifinals
Scabs,silviawataru,Finals
