Winner,Loser,Round
tye8fl,Suabe,Quarterfinals
obi1wan,cl1ffy81,Quarterfinals
xJCloud,monkeyscantcry,Quarterfinals
Subi,karatedom,Quarterfinals
tye8fl,obi1wan,Semifinals
xJCloud,Subi,Semifinals
tye8fl,xJCloud,Finals
