Winner,Loser,Round
AnziD,93cm,Quarterfinals
SIN,Jsnyder207,Quarterfinals
twin_mtg,MituliakV,Quarterfinals
SteFaNoGs,SB3K,Quarterfinals
AnziD,SIN,Semifinals
twin_mtg,SteFaNoGs,Semifinals
AnziD,twin_mtg,Finals
