Winner,Loser,Round
funkydude787,yay__,Quarterfinals
Janchu88,SorboOne,Quarterfinals
EronRelentless,Gsy,Quarterfinals
Kikurek,Guitarmy,Quarterfinals
funkydude787,Janchu88,Semifinals
EronRelentless,Kikurek,Semifinals
funkydude787,EronRelentless,Finals
