Winner,Loser,Round
DNEELEY,Jazza,Quarterfinals
SorboOne,yosoyez,Quarterfinals
DeathKiZz86,LewisCBR,Quarterfinals
Charlie-in-the-Mox,ballestin93,Quarterfinals
DNEELEY,SorboOne,Semifinals
DeathKiZz86,Charlie-in-the-Mox,Semifinals
DNEELEY,DeathKiZz86,Finals
