Winner,Loser,Round
pokerswizard,utley26,Quarterfinals
D00mwake,TrogdortheBurninatore,Quarterfinals
egadd2894,Carroz,Quarterfinals
LuisMJ,ExpectNoMercy,Quarterfinals
pokerswizard,D00mwake,Semifinals
egadd2894,LuisMJ,Semifinals
pokerswizard,egadd2894,Finals
