Winner,Loser,Round
pedroj,Egget,Quarterfinals
qbturtle15,Patxi,Quarterfinals
Mzfroste,Olivetti,Quarterfinals
Andrea94,ballestin93,Quarterfinals
pedroj,qbturtle15,Semifinals
Mzfroste,Andrea94,Semifinals
pedroj,Mzfroste,Finals
