Winner,Loser,Round
blastoids,piroko139,Quarterfinals
Garlan,Vonducky,Quarterfinals
Mzfroste,Tom-Del,Quarterfinals
richua,Pascal3000,Quarterfinals
blastoids,Garlan,Semifinals
Mzfroste,richua,Semifinals
blastoids,Mzfroste,Finals
