Winner,Loser,Round
JPA93,FlyingTempest,Quarterfinals
Rooney56,jacetmsst,Quarterfinals
Griselpuff,Gokhlayeh,Quarterfinals
Clashed,StarBeryl,Quarterfinals
JPA93,Rooney56,Semifinals
Griselpuff,Clashed,Semifinals
JPA93,Griselpuff,Finals
