Winner,Loser,Round
Bayesta_93,James_Zhi,Quarterfinals
Sungjin,AnziD,Quarterfinals
rsanchez,Julian23,Quarterfinals
JPA93,shadow_PT,Quarterfinals
Bayesta_93,Sungjin,Semifinals
rsanchez,JPA93,Semifinals
Bayesta_93,rsanchez,Finals
