Winner,Loser,Round
AntzzzOnALog,Bryant_Cook,Quarterfinals
ReneRandrup,JPA93,Quarterfinals
LegacyMaster,Tetsubou,Quarterfinals
ecobaronen,SchulzCubed,Quarterfinals
AntzzzOnALog,ReneRandrup,Semifinals
LegacyMaster,ecobaronen,Semifinals
AntzzzOnALog,LegacyMaster,Finals
