Winner,Loser,Round
Taracogenius,gottelicious,Quarterfinals
Mzfroste,nwrobinson,Quarterfinals
adan2606,Jazza,Quarterfinals
kozel,__CH1,Quarterfinals
Taracogenius,Mzfroste,Semifinals
adan2606,kozel,Semifinals
Taracogenius,adan2606,Finals
