Winner,Loser,Round
SorboOne,PhReSHTinGZ,Quarterfinals
adalid240477,Koke_MTG,Quarterfinals
yoshiwata,Pha-raoh,Quarterfinals
jacetmsst,Veronkierto,Quarterfinals
SorboOne,adalid240477,Semifinals
yoshiwata,jacetmsst,Semifinals
SorboOne,yoshiwata,Finals
