Winner,Loser,Round
Leastbean,Joey_Wheeler,Quarterfinals
fifteenstepper,TempletonPeckFanClub,Quarterfinals
nakanishi,_maddy,Quarterfinals
shijimi,SchulzCubed,Quarterfinals
Leastbean,fifteenstepper,Semifinals
nakanishi,shijimi,Semifinals
Leastbean,nakanishi,Finals
