Winner,Loser,Round
Gul_Dukat,TabaDonk,Quarterfinals
RagingTiltMonster,Condescend,Quarterfinals
albertoSD,Kikurek,Quarterfinals
Comebackkid,AnziD,Quarterfinals
Gul_Dukat,RagingTiltMonster,Semifinals
albertoSD,Comebackkid,Semifinals
Gul_Dukat,albertoSD,Finals
