Winner,Loser,Round
capsula1,Gul_Dukat,Quarterfinals
ekieling,JeffHoogland,Quarterfinals
Bryant_Cook,learntolove6,Quarterfinals
Zam_,Maxtortion,Quarterfinals
capsula1,ekieling,Semifinals
Bryant_Cook,Zam_,Semifinals
capsula1,Bryant_Cook,Finals
