Winner,Loser,Round
VedX,jacetmsst,Quarterfinals
zackwithak,jjkbb2005,Quarterfinals
SorboOne,SIN,Quarterfinals
Mou,Cartesian,Quarterfinals
VedX,zackwithak,Semifinals
SorboOne,Mou,Semifinals
VedX,SorboOne,Finals
