Winner,Loser,Round
Orim67,Vonducky,Quarterfinals
Leastbean,Condescend,Quarterfinals
AnziD,Bryant_Cook,Quarterfinals
Dazai,TonyMontana,Quarterfinals
Orim67,Leastbean,Semifinals
AnziD,Dazai,Semifinals
Orim67,AnziD,Finals
