Winner,Loser,Round
Iziter,millennium9999,Quarterfinals
Pathy,Gul_Dukat,Quarterfinals
reiderrabbit,m0ller,Quarterfinals
Sharkcaster_Mage,Griselpuff,Quarterfinals
Iziter,Pathy,Semifinals
reiderrabbit,Sharkcaster_Mage,Semifinals
Iziter,reiderrabbit,Finals
