Winner,Loser,Round
MariusoftheMoon,Julian23,Quarterfinals
luckybear41,KeeperX,Quarterfinals
Maheegan001,Nukkinz,Quarterfinals
Dan9IN,PaleMongoose,Quarterfinals
MariusoftheMoon,luckybear41,Semifinals
Maheegan001,Dan9IN,Semifinals
MariusoftheMoon,Maheegan001,Finals
