Winner,Loser,Round
degress12,l337erhosen,Quarterfinals
EronRelentless,bolov0,Quarterfinals
Serguei,navi_stabber,Quarterfinals
TonyMontana,EskimoJoe,Quarterfinals
degress12,EronRelentless,Semifinals
Serguei,TonyMontana,Semifinals
degress12,Serguei,Finals
