Winner,Loser,Round
abombdiggity,WhiteFaces,Quarterfinals
Scabs,AngelicExecution,Quarterfinals
vidieowiz4,duke12,Quarterfinals
Kikurek,kanister,Quarterfinals
abombdiggity,Scabs,Semifinals
vidieowiz4,Kikurek,Semifinals
abombdiggity,vidieowiz4,Finals
