Winner,Loser,Round
A22en,nimb1e_mongoose,Quarterfinals
Bucknasty691989,Clashed,Quarterfinals
HeyyQT,ItIsUnfair,Quarterfinals
Scuta04,necknight,Quarterfinals
A22en,Bucknasty691989,Semifinals
HeyyQT,Scuta04,Semifinals
A22en,HeyyQT,Finals
